Index,Load,Prefetch,NOP
263,11601.425,2631.802,433.271
262,11544.207,2612.204,430.671
261,11501.445,2617.364,441.537
260,11512.712,2589.199,452.621
259,11450.716,2592.857,459.424
258,11414.414,2588.633,464.760
257,11383.594,2568.282,468.014
256,11358.607,2566.896,461.011
255,11317.486,2557.966,458.264
254,11300.112,2521.455,444.157
253,11259.576,2538.068,459.464
252,11237.708,2540.822,438.203
251,11210.898,2499.739,438.901
250,11174.639,2496.801,447.310
249,11162.921,2499.552,446.670
248,11117.910,2496.909,445.954
247,11103.693,2453.967,442.850
246,11075.997,2458.072,440.933
245,11011.027,2454.877,443.978
244,10984.094,2438.079,439.322
243,10951.269,2422.661,448.927
242,10917.747,2390.719,438.851
241,10882.039,2389.506,435.201
240,10845.281,2388.395,430.628
239,10802.646,2369.842,436.043
238,10743.351,2366.089,429.469
237,10710.119,2343.580,442.883
236,10679.572,2346.072,449.176
235,10640.235,2343.425,432.605
234,10583.837,2320.000,413.845
233,10516.072,2301.969,416.011
232,10488.744,2299.483,448.000
231,10459.345,2282.747,471.420
230,10408.423,2278.086,481.649
229,10373.276,2267.049,479.046
228,10330.270,2257.294,493.751
227,10304.372,2225.637,494.200
226,10245.160,2192.118,496.480
225,10210.195,2205.594,482.526
224,10167.744,2212.549,470.210
223,10143.351,2218.733,464.119
222,10122.776,2210.008,447.363
221,10073.115,2183.137,439.270
220,10045.586,2166.053,441.371
219,9995.441,2146.438,440.030
218,9919.431,2146.087,427.986
217,9883.333,2124.436,431.352
216,9848.726,2142.101,431.773
215,9768.936,2108.497,434.336
214,9723.408,2083.103,422.212
213,9647.766,2098.889,62.050
212,9638.027,2061.067,62.106
211,9585.028,2080.804,61.859
210,9521.833,2036.043,60.941
209,9462.072,2062.206,61.085
208,9411.988,2032.598,61.186
207,9397.433,2025.693,61.217
206,9359.795,2013.004,59.950
205,9292.304,1984.404,59.881
204,9236.213,2007.669,60.019
203,9160.176,1955.378,60.052
202,9133.500,1966.160,59.148
201,9121.550,1958.688,59.107
200,9107.602,1943.712,59.194
199,9074.081,1938.592,59.090
198,9065.359,1919.622,60.056
197,9004.100,1920.852,59.468
196,8958.365,1896.826,58.201
195,8926.586,1882.753,57.866
194,8873.981,1857.239,56.900
193,8777.857,1855.259,56.941
192,8745.850,1850.821,56.806
191,8716.851,1853.346,57.329
190,8651.766,1836.781,55.897
189,8706.604,1826.896,55.991
188,8657.619,1786.431,56.210
187,8591.036,1786.100,55.883
186,8545.115,1762.693,52.283
185,8555.089,1763.312,54.943
184,8495.182,1743.184,55.152
183,8363.679,1760.687,54.833
182,8336.718,1761.285,54.119
181,8287.781,1722.628,53.975
180,8254.826,1716.308,53.986
179,8172.692,1700.354,54.245
178,8154.695,1692.540,53.089
177,8088.733,1681.241,53.017
176,8137.146,1674.536,53.334
175,8066.344,1667.546,53.341
174,8014.625,1653.739,53.024
173,7959.353,1625.884,52.754
172,7932.583,1631.120,53.086
171,7888.481,1620.864,52.895
170,7855.164,1585.962,50.944
169,7836.209,1606.662,50.659
168,7832.180,1587.414,51.588
167,7824.602,1582.848,51.120
166,7786.924,1563.519,50.000
165,7771.072,1578.350,49.842
164,7709.495,1542.603,50.105
163,7674.861,1558.615,50.303
162,7667.867,1500.886,49.208
161,7601.393,1521.645,49.320
160,7560.734,1475.687,49.104
159,7533.378,1482.070,48.658
158,7591.606,1455.111,47.687
157,7284.916,1462.391,48.234
156,7690.408,1453.450,47.906
155,7696.985,1451.990,48.060
154,7616.748,1431.800,47.009
153,7664.730,1424.898,47.117
152,7682.867,1409.188,47.149
151,7515.708,1403.409,47.146
150,7288.193,1386.054,45.900
149,7284.483,1385.653,45.950
148,6781.922,1364.575,45.900
147,7321.936,1365.555,45.900
146,7555.475,1320.155,44.975
145,8526.729,1338.797,44.892
144,7561.808,1302.479,45.257
143,7418.572,1318.587,44.896
142,7471.454,1302.774,44.111
141,7456.240,1302.059,44.039
140,7161.816,1256.414,44.161
139,6280.380,1275.798,43.888
138,7322.607,1277.100,44.244
137,7420.906,1235.626,44.190
136,7207.508,1232.747,43.855
135,7350.463,1232.533,44.251
134,7221.897,1209.739,43.424
133,7552.501,1210.438,42.872
132,7434.399,1168.292,42.901
131,7111.620,1198.956,43.042
130,5830.475,1147.143,41.005
129,5765.993,1160.156,41.209
128,7020.771,1125.350,40.846
127,6715.320,1144.486,41.098
126,6972.961,1145.079,39.992
125,6791.642,1119.161,40.000
124,6419.267,1101.521,40.104
123,5946.282,1097.168,39.917
122,6076.227,1099.507,39.002
121,5683.020,1074.814,38.984
120,5500.363,1057.636,39.031
119,5111.668,1051.278,39.024
118,4872.113,1034.548,38.067
117,4613.450,1029.959,38.031
116,4541.271,994.082,38.056
115,4426.149,1013.163,37.987
114,4349.775,1014.337,37.023
113,4262.116,990.716,36.936
112,4184.550,968.133,37.195
111,4069.967,976.087,37.015
110,3967.745,944.655,36.972
109,3891.638,938.974,36.943
108,3803.726,927.258,37.120
107,3724.862,916.698,37.055
106,3638.356,903.244,35.009
105,3599.099,900.533,35.013
104,3521.474,901.577,35.051
103,3344.509,882.468,35.009
102,3342.656,857.281,40.853
101,3288.085,843.744,40.734
100,3360.114,835.428,40.763
99,3213.658,836.996,40.997
98,2889.651,812.978,40.136
97,2810.597,806.729,40.025
96,2628.018,795.845,40.007
95,2766.277,784.619,40.072
94,2467.026,770.103,38.959
93,2262.768,770.326,39.006
92,2319.075,765.084,38.988
91,1838.711,731.045,38.988
90,1997.283,705.900,37.973
89,2235.249,692.076,37.980
88,2124.270,679.380,37.912
87,2182.234,669.476,37.980
86,1748.901,655.334,37.876
85,1835.471,655.212,38.077
84,2223.585,612.050,37.948
83,1815.794,611.982,38.092
82,1747.095,612.771,36.983
81,1806.947,613.516,37.105
80,1722.321,589.831,37.134
79,1682.383,588.023,37.195
78,1672.718,586.982,37.040
77,1559.639,568.433,36.950
76,1493.030,544.105,37.112
75,1751.718,543.838,36.965
74,1359.321,522.031,36.954
73,1212.862,502.423,36.994
72,1082.463,500.742,36.994
71,1000.968,478.474,36.904
70,937.559,482.504,36.875
69,854.581,456.149,37.130
68,728.723,478.100,36.979
67,722.088,414.266,37.091
66,679.556,434.228,37.174
65,601.948,434.984,37.055
64,583.251,414.508,37.242
63,493.428,411.912,37.185
62,487.682,394.488,36.904
61,456.043,388.984,37.123
60,427.817,355.099,37.008
59,399.708,353.209,36.997
58,393.772,327.917,37.030
57,357.041,291.665,37.213
56,325.109,184.889,36.947
55,285.970,183.331,37.141
54,51.962,164.005,37.026
53,41.944,126.724,37.022
52,42.649,91.854,36.979
51,41.033,72.796,37.051
50,39.024,50.461,37.004
49,40.046,44.730,36.986
48,38.887,41.981,37.012
47,39.888,39.344,37.127
46,37.951,38.866,36.950
45,37.987,38.079,37.310
44,39.647,37.833,37.080
43,37.991,37.699,36.936
42,37.004,37.993,37.008
41,36.058,38.481,36.994
40,37.008,38.841,36.868
39,36.976,37.404,37.246
38,37.174,37.595,37.012
37,37.163,37.112,36.986
36,38.462,37.156,37.051
35,39.103,36.990,41.108
34,37.102,37.015,37.145
33,37.066,36.220,36.079
32,38.956,37.030,37.004
31,37.091,36.929,36.997
30,37.066,37.040,38.009
29,37.865,36.968,36.785
28,37.793,36.356,36.968
27,36.904,36.965,36.806
26,37.062,37.087,36.756
25,37.102,36.994,37.318
24,38.830,36.972,37.148
23,36.997,37.030,37.044
22,36.965,37.019,37.091
21,36.983,37.102,37.094
20,36.959,36.120,37.066
19,36.965,36.940,36.980
18,39.118,36.911,37.049
17,39.211,36.900,39.056
16,39.355,37.001,38.948
15,38.984,39.006,38.999
14,39.481,39.884,37.292
13,40.136,39.463,38.459
12,39.035,40.000,37.177
11,39.002,38.408,36.997
10,45.000,36.000,36.004
9,37.148,37.001,37.001
8,36.997,36.112,37.602
